yearmonthno 	saleamountpermonth
----------- 	--------------------
2021-07		30192.10
2021-08		26609.40
2021-09		27636.00
2021-10		41203.60
2021-11		49704.00
2021-12		50953.40
2022-01		66692.80
2022-02		41207.20
2022-03		39979.90
2022-04		55699.39
2022-05		56823.70
2022-06		39088.00
2022-07		55464.93
2022-08		49981.69
2022-09		59733.02
2022-10		70328.50
2022-11		45913.36
2022-12		77476.26
2023-01		100854.72
2023-02		104561.95
2023-03		109825.45
2023-04		134630.56
2023-05		19898.66

(23 row(s) affected)
