orderid   orderdate
-------- -----------------------
11077	2008-05-06T00:00:00
11076	2008-05-06T00:00:00
11074	2008-05-06T00:00:00
11075	2008-05-06T00:00:00
11072	2008-05-05T00:00:00
11071	2008-05-05T00:00:00
11070	2008-05-05T00:00:00
11073	2008-05-05T00:00:00
11067	2008-05-04T00:00:00
11069	2008-05-04T00:00:00
11068	2008-05-04T00:00:00
11065	2008-05-01T00:00:00
11064	2008-05-01T00:00:00
11066	2008-05-01T00:00:00
11062	2008-04-30T00:00:00
11060	2008-04-30T00:00:00
11061	2008-04-30T00:00:00
11063	2008-04-30T00:00:00
11058	2008-04-29T00:00:00
11057	2008-04-29T00:00:00

(20 row(s) affected)
