custid orderid  orderdate
------ -------- -----------------------
33	10268	2021-07-30 15:14:34.230621
89	10269	2021-07-31 16:57:08.341698
75	10271	2021-08-01 08:38:37.125294
87	10270	2021-08-01 15:24:34.506397
65	10272	2021-08-02 13:29:24.468522
63	10273	2021-08-05 10:12:45.68639
85	10274	2021-08-06 09:07:42.117891
49	10275	2021-08-07 11:35:27.690012
80	10276	2021-08-08 15:01:28.6801
52	10277	2021-08-09 11:59:49.491969
5	10278	2021-08-12 17:44:02.240572
44	10279	2021-08-13 10:45:54.33823
69	10281	2021-08-14 10:30:36.985271
5	10280	2021-08-14 16:33:47.522326
69	10282	2021-08-15 14:17:20.8093
46	10283	2021-08-16 10:53:30.228503
44	10284	2021-08-19 13:32:37.065228
63	10285	2021-08-20 15:57:03.812881
63	10286	2021-08-21 12:18:16.065351
67	10287	2021-08-22 16:35:24.392122

(20 row(s) affected)

