custid  orderid orderdate
------- ------- -----------------------
85	10248	2021-07-04 10:20:17.268762
79	10249	2021-07-05 09:41:24.706982
84	10251	2021-07-08 13:49:28.365757
34	10250	2021-07-08 14:56:30.866719
76	10252	2021-07-09 13:28:00.656615
34	10253	2021-07-10 08:40:08.434886
14	10254	2021-07-11 12:59:04.106944
68	10255	2021-07-12 09:48:07.060451
88	10256	2021-07-15 12:55:26.036296
35	10257	2021-07-16 12:58:00.654239
20	10258	2021-07-17 16:29:11.677097
13	10259	2021-07-18 14:49:35.610365
56	10260	2021-07-19 10:30:52.929692
61	10261	2021-07-19 13:48:33.986546
65	10262	2021-07-22 14:06:22.502748
20	10263	2021-07-23 13:10:48.340743
24	10264	2021-07-24 10:31:37.417643
7	10265	2021-07-25 12:23:50.118136
87	10266	2021-07-26 08:11:14.625734
25	10267	2021-07-29 08:48:06.549787

(20 row(s) affected)
