orderid     	totalsalesamount salespctoftotal
----------- 	--------------- ------------------------------
11071		510.00		2.56298665337263916300
11077		1374.60		6.90800285044319567200
11074		244.30		1.22772086160575636800
11069		360.00		1.80916704943950999700
11065		252.56		1.26923119446234068000
11072		5218.00		26.22287128882045323700
11070		1873.50		9.41520685312478327700
11073		300.00		1.50763920786625833100
11064		4722.30		23.73174877102277238800
11068		2384.80		11.98472660973150955900
11067		86.85		0.43646155067728178700
11076		1057.00		5.31191547571545018600
11066		928.75		4.66739971435262475000
11075		586.00		2.94492191936542460600

(14 row(s) affected)
