orderid custid  orderdate
------- ------- ------------
10266	87	2021-07-26
10267	25	2021-07-29
10268	33	2021-07-30
10269	89	2021-07-31
10289	11	2021-08-26
10290	15	2021-08-27
10291	61	2021-08-27
10292	81	2021-08-28
10293	80	2021-08-29
10294	65	2021-08-30
10314	65	2021-09-25
10315	38	2021-09-26
10316	65	2021-09-27
10317	48	2021-09-30
10339	51	2021-10-28
10340	9	2021-10-29
10341	73	2021-10-29
10342	25	2021-10-30
10343	44	2021-10-31
10362	9	2021-11-25
10363	17	2021-11-26
10364	19	2021-11-26
10365	3	2021-11-27
10366	29	2021-11-28
10367	83	2021-11-28
10368	20	2021-11-29
10395	35	2021-12-26
10396	25	2021-12-27
10397	60	2021-12-27
10398	71	2021-12-30
10399	83	2021-12-31
10426	29	2022-01-27
10427	59	2022-01-27
10428	66	2022-01-28
10429	37	2022-01-29
10430	20	2022-01-30
10431	10	2022-01-30
10432	75	2022-01-31
10455	87	2022-02-24
10456	39	2022-02-25
10457	39	2022-02-25
10458	76	2022-02-26
10459	84	2022-02-27
10460	24	2022-02-28
10461	46	2022-02-28
10486	35	2022-03-26
10487	62	2022-03-26
10488	25	2022-03-27
10489	59	2022-03-28
10490	35	2022-03-31
10491	28	2022-03-31
10518	80	2022-04-25
10519	14	2022-04-28
10520	70	2022-04-29
10521	12	2022-04-29
10522	44	2022-04-30
10548	79	2022-05-26
10549	63	2022-05-27
10550	30	2022-05-28
10551	28	2022-05-28
10552	35	2022-05-29
10553	87	2022-05-30
10554	56	2022-05-30
10579	45	2022-06-25
10580	56	2022-06-26
10581	21	2022-06-26
10582	6	2022-06-27
10583	87	2022-06-30
10584	7	2022-06-30
10612	71	2022-07-28
10613	35	2022-07-29
10614	6	2022-07-29
10615	90	2022-07-30
10616	32	2022-07-31
10617	32	2022-07-31
10645	34	2022-08-26
10646	37	2022-08-27
10647	61	2022-08-27
10648	67	2022-08-28
10649	50	2022-08-28
10650	21	2022-08-29
10681	32	2022-09-25
10682	3	2022-09-25
10683	18	2022-09-26
10684	56	2022-09-26
10685	31	2022-09-29
10686	59	2022-09-30
10687	37	2022-09-30
10718	39	2022-10-27
10719	45	2022-10-27
10720	61	2022-10-28
10721	63	2022-10-29
10722	71	2022-10-29
10723	89	2022-10-30
10724	51	2022-10-30
10725	21	2022-10-31
10753	27	2022-11-25
10754	49	2022-11-25
10755	9	2022-11-26
10756	75	2022-11-27
10757	71	2022-11-27
10758	68	2022-11-28
10759	2	2022-11-28
10798	38	2022-12-26
10799	39	2022-12-26
10800	72	2022-12-26
10801	8	2022-12-29
10802	73	2022-12-29
10803	88	2022-12-30
10804	72	2022-12-30
10805	77	2022-12-30
10806	84	2022-12-31
10807	27	2022-12-31
10851	67	2023-01-26
10852	65	2023-01-26
10853	6	2023-01-27
10854	20	2023-01-27
10855	55	2023-01-27
10856	3	2023-01-28
10857	5	2023-01-28
10858	40	2023-01-29
10859	25	2023-01-29
10860	26	2023-01-29
10861	89	2023-01-30
10862	44	2023-01-30
10901	35	2023-02-23
10902	24	2023-02-23
10903	34	2023-02-24
10904	89	2023-02-24
10905	88	2023-02-24
10906	91	2023-02-25
10907	74	2023-02-25
10908	66	2023-02-26
10909	70	2023-02-26
10910	90	2023-02-26
10911	30	2023-02-26
10912	37	2023-02-26
10913	62	2023-02-26
10914	62	2023-02-27
10915	80	2023-02-27
10916	64	2023-02-27
10977	24	2023-03-26
10978	50	2023-03-26
10979	20	2023-03-26
10980	24	2023-03-27
10981	34	2023-03-27
10982	10	2023-03-27
10983	71	2023-03-27
10984	71	2023-03-30
10985	37	2023-03-30
10986	54	2023-03-30
10987	19	2023-03-31
10988	65	2023-03-31
10989	61	2023-03-31
11050	24	2023-04-27
11051	41	2023-04-27
11052	34	2023-04-27
11053	59	2023-04-27
11054	12	2023-04-28
11055	35	2023-04-28
11056	19	2023-04-28
11057	53	2023-04-29
11058	6	2023-04-29
11059	67	2023-04-29
11060	27	2023-04-30
11061	32	2023-04-30
11062	66	2023-04-30
11063	37	2023-04-30

(168 row(s) affected)
